sample_1,sample_2
36,35
76,79
46,90
34,36
66,20
82,35
66,36
63,14
55,47
43,52
47,55
48,39
22,49
64,71
27,18
69,40
56,32
46,74
33,49
38,31
47,63
22,18
74,30
24,89
84,56
0,0
0,43
0,0
0,1
0,0
0,0
0,0
0,0
0,6
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,5
0,0
0,3
0,10
0,0
0,0
0,0
0,0
0,0
0,0
0,0
32,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
3,0
3,0
0,0
0,0
0,0
35,79
61,53
51,26
66,52
51,91
32,61
60,48
47,53
61,25
19,43
32,44
24,50
46,62
80,26
23,31
36,32
38,85
70,54
40,62
81,28
49,111
30,67
53,80
18,74
73,51
83,23
43,27
27,4
72,45
70,61
57,43
92,78
111,66
81,83
85,21
41,63
53,92
86,94
88,29
67,98
91,73
99,86
84,76
87,100
93,77
84,79
64,90
109,101
80,99
108,82
90,105
85,26
68,44
53,74
42,72
81,95
94,86
59,96
63,62
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,11
0,0
0,29
0,1
0,0
0,0
6,0
0,32
0,0
0,0
0,0
0,0
0,0
0,0
3,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
3,0
0,0
6,17
0,0
0,0
0,0
30,0
0,0
0,0
0,0
0,0
0,0
0,30
0,0
10,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
14,8
0,0
1,2
0,0
0,0
0,4
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,16
0,0
62,42
58,84
42,66
43,44
80,42
90,42
51,75
78,16
31,45
62,80
71,25
19,48
64,68
66,73
31,65
8,10
44,10
44,44
69,21
74,67
40,67
64,78
