sample_1,sample_2
98,102
100,98
91,106
107,113
114,111
113,105
94,115
91,108
91,93
90,115
94,92
115,104
111,93
90,92
103,93
97,99
112,107
113,107
95,100
113,99
103,96
105,101
112,94
107,92
83,96
95,91
111,94
85,104
103,103
105,97
87,124
115,119
109,107
95,102
108,87
102,95
102,83
112,81
84,82
87,103
96,106
96,110
111,90
80,84
84,111
99,102
108,99
103,93
103,108
87,99
117,97
91,115
97,96
104,107
112,100
105,97
112,99
97,93
92,93
90,107
73,108
101,109
84,109
105,103
111,95
89,102
101,96
101,94
86,101
97,85
106,84
93,108
110,108
115,96
84,106
102,124
110,93
87,99
91,124
93,109
108,105
95,102
83,124
106,89
103,96
87,101
99,96
86,99
97,112
111,99
110,108
91,83
102,86
103,96
121,102
97,97
96,93
107,94
100,111
106,101
125,121
105,98
100,76
93,92
128,90
96,97
103,96
97,111
93,104
88,101
96,102
120,102
81,89
109,106
100,105
119,110
93,111
109,114
110,89
110,88
96,119
85,102
98,93
102,88
102,101
110,97
85,107
95,104
118,104
106,97
109,100
105,86
95,105
92,85
110,78
111,99
113,117
100,101
97,109
109,82
107,100
108,83
102,96
95,104
92,90
96,115
74,92
89,106
104,114
101,104
94,90
93,91
100,116
104,87
100,113
103,87
92,92
99,88
104,95
99,92
106,95
105,88
76,93
95,97
104,103
93,96
107,111
106,113
82,108
96,103
102,114
100,95
110,92
103,98
96,96
90,88
94,98
106,93
102,105
96,85
86,96
105,100
105,94
99,97
97,109
92,111
90,91
93,106
84,93
95,106
107,101
92,109
99,111
114,106
86,99
112,108
103,88
84,98
92,101
89,99
109,90
99,96
100,101
94,95
103,117
91,95
93,108
102,104
91,104
94,98
105,103
114,110
90,91
92,124
98,108
116,94
108,91
94,103
87,95
93,93
101,110
91,120
94,90
107,84
85,103
94,92
73,87
95,99
85,99
98,109
110,94
115,116
99,105
109,90
102,86
114,97
101,104
99,109
112,92
97,106
112,87
100,100
91,114
83,100
97,82
99,85
103,113
110,106
95,87
98,101
