sample_1,sample_2
91,58
34,68
23,19
89,99
68,48
70,89
124,102
80,82
67,66
102,88
78,59
76,62
53,116
57,104
94,75
91,81
89,84
80,88
101,68
90,56
82,98
111,105
105,105
106,111
93,85
93,52
35,60
14,98
84,82
77,93
95,47
59,51
56,88
100,116
48,88
80,61
124,33
89,87
86,65
103,75
78,52
81,68
79,79
45,84
93,56
89,103
98,85
89,90
84,76
71,50
106,91
78,77
73,77
84,40
83,95
91,88
48,51
100,54
97,72
83,49
90,76
109,82
71,101
77,30
47,91
97,85
62,91
76,71
96,53
90,87
96,98
104,67
89,46
79,119
100,80
68,106
99,92
88,68
99,98
106,101
90,72
41,20
63,55
25,52
46,72
31,69
74,33
68,73
44,41
56,80
55,34
10,25
62,24
39,24
40,91
64,73
29,40
47,73
0,0
1,0
0,0
0,0
0,0
0,0
0,3
0,0
0,0
0,0
0,1
0,0
0,6
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
5,0
0,0
0,0
0,2
0,0
0,0
0,0
0,0
0,0
0,0
18,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
42,60
63,82
72,42
25,23
53,73
23,44
30,55
58,67
24,29
24,44
110,97
99,84
107,100
96,93
88,102
108,103
101,116
88,105
101,102
97,105
108,92
78,90
98,113
95,90
91,105
113,90
94,96
89,98
106,107
94,100
101,73
88,104
114,105
100,99
71,101
101,102
107,86
113,100
99,106
71,108
107,111
93,94
93,109
87,113
95,87
96,77
92,115
93,96
103,64
93,103
90,95
83,112
94,122
81,97
107,92
105,106
91,89
85,111
111,99
112,97
95,112
88,108
94,93
105,99
95,100
98,96
96,16
81,93
101,99
86,86
96,93
79,101
97,88
107,83
91,100
95,111
99,99
89,81
95,81
103,93
87,93
108,87
100,93
99,101
102,119
115,120
89,117
101,87
109,127
116,89
96,101
100,99
102,95
100,84
109,91
117,97
107,119
76,92
92,98
102,111
101,94
105,93
