sample_1,sample_2
0,0
5,0
0,0
0,0
20,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,12
0,0
0,14
2,0
9,0
0,0
0,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
16,0
0,0
0,0
5,0
0,0
4,0
0,0
0,0
0,0
0,2
50,3
0,1
0,0
0,0
0,0
0,0
0,0
0,17
0,0
0,0
0,0
9,0
0,6
0,0
3,0
0,0
0,0
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,2
0,0
0,0
0,0
1,0
0,0
0,1
0,0
0,0
0,0
1,1
0,0
0,1
7,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
4,55
0,0
55,77
90,83
39,56
41,61
68,50
52,61
16,47
39,31
31,73
23,34
24,62
61,28
64,12
59,34
39,62
55,85
35,70
72,90
89,56
39,65
99,87
91,90
74,105
104,83
90,91
123,104
89,118
127,112
98,89
107,79
99,101
109,97
90,90
99,103
96,104
91,101
112,83
83,101
96,106
109,99
103,95
106,98
112,101
89,92
103,108
96,105
103,99
72,102
113,102
109,106
94,97
109,102
121,96
86,92
101,114
86,102
71,99
87,92
96,98
95,108
106,88
101,109
115,90
99,124
95,106
83,93
109,79
104,111
110,95
88,107
93,96
86,92
101,118
122,94
96,91
122,83
103,90
100,98
89,83
57,99
103,67
120,94
81,80
99,98
89,97
103,95
110,96
93,122
90,83
87,87
112,95
109,88
101,96
86,119
101,114
88,88
90,99
105,96
93,81
102,96
113,115
88,97
108,96
93,99
116,111
92,78
107,99
103,88
102,72
108,105
108,98
124,97
109,99
91,105
99,112
110,104
92,86
95,50
106,79
106,92
83,112
99,112
108,112
88,114
111,100
113,104
97,106
102,97
