sample_1,sample_2
8,8
11,68
1,2
66,4
10,2
0,27
13,0
1,41
13,0
1,0
1,2
11,27
87,0
2,24
47,0
12,14
62,6
2,15
8,32
79,9
26,0
11,48
52,19
16,14
3,24
2,3
1,12
15,32
5,42
0,18
21,71
2,13
17,90
0,2
24,6
63,36
42,52
56,7
51,32
61,63
45,38
65,28
65,33
58,72
17,15
47,30
40,67
53,48
59,53
37,31
56,56
28,77
42,85
67,7
28,23
36,25
10,68
69,61
12,21
24,95
43,38
67,68
47,8
24,2
46,75
68,12
33,42
95,16
55,49
17,21
61,6
48,101
93,79
81,57
80,9
19,121
64,62
62,57
4,65
61,33
24,28
55,40
13,55
80,53
46,23
79,61
42,23
86,93
75,40
62,21
67,7
61,69
97,81
79,95
40,77
74,57
39,48
32,12
62,100
90,43
18,27
6,17
88,8
45,18
124,36
40,14
64,5
11,29
23,51
71,93
93,23
38,41
45,36
93,13
49,49
81,75
92,94
100,91
110,50
35,69
72,63
41,74
95,70
96,66
82,91
107,88
85,107
49,104
23,80
74,68
3,0
27,20
3,30
0,56
73,43
28,24
26,12
60,71
40,50
23,2
61,2
4,20
36,21
0,34
1,21
30,28
7,12
6,1
79,5
3,11
13,0
25,2
0,80
2,70
36,1
3,20
38,42
1,0
47,21
24,20
4,31
0,11
5,1
3,17
35,9
0,34
1,0
17,1
1,1
20,1
29,56
54,36
46,38
59,32
78,67
54,53
25,31
18,47
44,19
77,53
25,45
25,71
85,35
0,24
0,91
0,36
18,3
2,18
0,0
0,0
77,3
21,68
11,60
2,67
6,6
34,31
9,45
58,13
29,11
12,47
6,8
59,96
35,78
58,43
92,116
89,93
93,38
77,101
81,104
93,83
97,101
114,110
73,68
46,115
94,106
116,85
83,90
59,102
83,69
84,93
90,73
84,120
91,90
105,75
85,27
80,90
18,75
83,80
64,66
56,106
67,92
98,102
75,87
101,42
90,78
103,66
78,102
98,108
111,48
89,103
71,47
97,64
63,113
54,8
33,34
76,52
102,110
104,106
42,38
95,83
