sample_1,sample_2
102,83
123,91
91,82
97,99
86,99
93,110
124,102
104,93
111,93
111,97
111,102
84,96
95,119
117,107
98,105
91,86
96,95
99,88
101,73
91,95
105,107
112,108
106,105
110,113
93,95
96,91
103,69
115,110
100,105
88,98
103,80
92,102
106,88
103,116
104,89
111,104
124,94
94,100
96,96
109,94
88,95
88,82
91,81
111,87
113,95
91,103
109,101
100,108
93,86
109,92
106,96
108,103
111,90
107,90
110,96
98,100
104,91
103,79
103,90
95,94
100,82
109,104
102,105
111,88
94,94
97,88
99,95
86,96
107,76
92,108
116,108
109,90
89,101
98,119
100,98
84,109
113,99
102,108
108,98
112,102
109,82
109,95
106,76
107,90
86,108
103,96
98,88
101,107
93,108
113,95
94,105
88,100
107,101
104,104
110,107
96,106
92,91
105,99
100,93
98,85
87,107
109,98
96,116
88,92
95,102
113,91
94,99
110,90
95,89
91,115
110,107
106,85
88,106
99,88
92,100
95,100
103,107
92,110
99,112
103,92
99,103
101,94
97,92
93,99
104,93
105,101
108,109
127,107
86,85
96,94
89,105
84,111
105,104
80,97
116,86
98,120
106,116
101,106
105,99
81,97
87,91
91,103
92,105
91,89
109,90
95,91
97,120
88,107
85,96
90,115
107,93
88,110
100,107
111,106
97,103
97,84
111,105
90,98
110,97
99,84
107,100
96,106
94,102
108,103
101,116
88,117
101,102
97,105
108,92
78,90
98,113
95,90
91,105
113,90
94,96
89,98
106,107
94,100
101,93
92,104
114,105
100,99
88,101
101,102
107,86
113,100
99,106
72,108
107,111
93,94
93,109
87,113
95,87
96,85
92,115
93,96
103,64
93,103
90,95
83,112
94,122
81,97
112,92
105,106
91,89
94,111
111,99
112,97
95,112
88,108
94,93
105,99
95,100
98,96
96,95
81,93
101,99
86,86
96,93
79,101
98,91
107,83
91,100
95,111
99,99
89,81
95,81
103,108
87,93
108,104
100,103
99,101
102,119
115,120
89,117
101,88
109,127
116,89
96,101
100,99
102,95
100,85
109,91
117,97
107,119
76,92
92,98
102,111
101,94
105,93
